"category_id","asin","Predicted","category_name"
164,"B07RXQNZT6",1,"Bedding"
164,"B0C27JYSJP",1,"Bedding"
164,"B09D3CWYX9",1,"Bedding"
164,"B0B6BCQ8T1",1,"Bedding"
164,"B01BWABGN6",1,"Bedding"
164,"B0C7ZHGKC4",1,"Bedding"
164,"B08BTHZNV2",1,"Bedding"
164,"B0BBTZDRHM",1,"Bedding"
164,"B0B3D8FVC1",1,"Bedding"
164,"B09BCQ4PZQ",1,"Bedding"
164,"B08PBB7DR9",1,"Bedding"
164,"B07381K8TM",1,"Bedding"
164,"B085H141DZ",1,"Bedding"
164,"B0725LGGQN",1,"Bedding"
164,"B00ZO2OL68",1,"Bedding"
164,"B0CB5YQD3W",1,"Bedding"
164,"B00FPHLWVO",1,"Bedding"
164,"B07RNQ9RLS",1,"Bedding"
164,"B077FPNSWD",1,"Bedding"
164,"B07PV8YCBF",1,"Bedding"
164,"B07VG9WT6Y",1,"Bedding"
164,"B097LFD98Z",1,"Bedding"
164,"B0BXSK9ZRW",1,"Bedding"
164,"B082WYPHW5",1,"Bedding"
164,"B0BWPMJY2K",1,"Bedding"
164,"B0885Q7GGD",1,"Bedding"
164,"B07Q9ZJLJT",1,"Bedding"
164,"B0BWYFTS99",1,"Bedding"
164,"B00MH74S16",1,"Bedding"
164,"B0C7CDVXXJ",1,"Bedding"
164,"B07CRZR28L",1,"Bedding"
164,"B0BZSMMJLW",1,"Bedding"
164,"B09MVYPWNH",1,"Bedding"
164,"B002R0DRAG",1,"Bedding"
164,"B07HTKFGLJ",1,"Bedding"
164,"B00SJBQLNC",1,"Bedding"
164,"B07XDVMKK3",1,"Bedding"
164,"B07BZKPLW6",1,"Bedding"
164,"B08CZ1444H",1,"Bedding"
164,"B07BDBVS8C",1,"Bedding"
164,"B07FP84F1M",1,"Bedding"
164,"B0BGNT7LFN",1,"Bedding"
164,"B07WBXPXL7",1,"Bedding"
165,"B07GZMZWL2",1,"Home Décor Products"
165,"B0748P3M4P",1,"Home Décor Products"
165,"B08YDLHVDR",1,"Home Décor Products"
165,"B0BP7DJ972",1,"Home Décor Products"
165,"B07T9LQRTZ",1,"Home Décor Products"
165,"B07DFJ16RF",1,"Home Décor Products"
165,"B00N7KAFRI",1,"Home Décor Products"
165,"B09YMMKLQY",1,"Home Décor Products"
165,"B09MW86GXG",1,"Home Décor Products"
165,"B07TLJHY3X",1,"Home Décor Products"
165,"B085FLZT95",1,"Home Décor Products"
165,"B0BJCTQ7KM",1,"Home Décor Products"
165,"B019K7DEI8",1,"Home Décor Products"
165,"B0BKKW5WDL",1,"Home Décor Products"
165,"B094MX869V",1,"Home Décor Products"
165,"B0BM947M85",1,"Home Décor Products"
